host_identity_verified,bedrooms,neighbourhood_cleansed,calculated_host_listings_count_shared_rooms,host_total_listings_count,neighbourhood_group_cleansed,has_availability,calculated_host_listings_count_private_rooms,calculated_host_listings_count_entire_homes,maximum_nights_avg_ntm,maximum_nights,accommodates,host_is_superhost,availability_365,minimum_nights_avg_ntm,price,instant_bookable,bathrooms
t,,Midtown,0,8.0,Manhattan,t,0,3,1125.0,1125,1,f,322,30.0,150.0,f,1.0
t,1.0,Bedford-Stuyvesant,0,1.0,Brooklyn,t,0,1,730.0,730,3,f,220,1.0,73.0,f,1.0
t,1.0,Bedford-Stuyvesant,0,1.0,Brooklyn,t,2,0,730.0,730,2,f,365,30.0,60.0,f,
t,2.0,Sunset Park,0,1.0,Brooklyn,t,0,1,1125.0,1125,4,f,91,5.0,275.0,f,1.5
f,1.0,Midtown,0,1.0,Manhattan,t,1,0,14.0,14,2,f,218,2.0,68.0,f,1.0
t,1.0,Upper West Side,0,1.0,Manhattan,t,1,0,14.0,14,1,f,0,2.0,75.0,f,1.0
t,1.0,South Slope,0,3.0,Brooklyn,t,2,1,21.0,21,2,t,307,4.0,98.0,f,1.5
t,,Williamsburg,0,1.0,Brooklyn,t,0,1,1125.0,730,3,f,197,30.0,89.0,t,1.0
t,1.0,East Harlem,0,0.0,Manhattan,t,2,0,180.0,180,1,f,365,30.0,65.0,f,1.0
t,1.0,East Harlem,0,3.0,Manhattan,t,1,0,1125.0,700,1,f,314,30.0,62.0,t,1.0
t,1.0,Williamsburg,0,2.0,Brooklyn,t,2,0,45.0,45,1,f,249,27.0,90.0,f,1.0
t,1.0,Fort Greene,0,1.0,Brooklyn,t,1,1,1125.0,1125,4,t,324,2.0,199.0,t,1.0
t,2.0,East Harlem,0,2.0,Manhattan,t,2,0,365.0,365,1,f,178,30.0,96.0,f,1.0
f,,Williamsburg,0,4.0,Brooklyn,t,0,1,90.0,90,4,t,334,30.0,299.0,f,1.0
t,1.0,Bedford-Stuyvesant,0,2.0,Brooklyn,t,0,2,1125.0,1125,5,t,315,2.0,140.0,f,1.0
t,,Hell's Kitchen,0,1.0,Manhattan,t,0,1,1125.0,1125,2,f,0,30.0,175.0,f,1.0
t,1.0,East Village,0,1.0,Manhattan,t,0,1,30.0,30,2,t,33,5.0,185.0,f,1.0
t,1.0,Harlem,0,1.0,Manhattan,t,1,0,730.0,730,2,f,306,30.0,55.0,f,1.0
t,1.0,Bedford-Stuyvesant,0,0.0,Brooklyn,t,4,0,730.0,730,3,t,284,30.0,82.0,f,1.0
t,1.0,South Slope,0,3.0,Brooklyn,t,2,1,21.0,21,2,t,325,4.0,98.0,f,1.0
f,1.0,Flatbush,0,1.0,Brooklyn,f,1,0,730.0,730,1,f,0,30.0,150.0,f,1.0
f,1.0,East Village,0,2.0,Manhattan,t,2,0,1125.0,1125,2,f,2,2.1,60.0,f,1.0
f,1.0,Harlem,0,1.0,Manhattan,t,0,1,1125.0,730,3,f,364,30.0,250.0,t,1.0
f,1.0,Long Island City,0,1.0,Queens,t,1,0,1125.0,1125,4,t,197,3.0,145.0,f,1.0
t,1.0,Bedford-Stuyvesant,0,4.0,Brooklyn,t,0,1,365.0,365,2,f,228,30.0,99.0,f,1.0
t,1.0,Jamaica,0,5.0,Queens,t,5,0,365.0,365,3,f,365,2.0,75.0,f,1.0
t,1.0,Bedford-Stuyvesant,0,3.0,Brooklyn,t,4,0,1125.0,1125,2,f,248,2.0,80.0,f,1.0
t,2.0,Williamsburg,0,3.0,Brooklyn,t,0,1,1125.0,60,2,f,136,3.0,240.0,f,1.0
t,1.0,Greenpoint,0,2.0,Brooklyn,t,0,1,1125.0,1125,2,f,306,30.0,99.0,f,1.0
t,1.0,Bedford-Stuyvesant,0,1.0,Brooklyn,t,2,0,730.0,730,2,f,363,60.0,70.0,f,1.0
t,1.0,Hell's Kitchen,0,2.0,Manhattan,t,2,0,1125.0,29,1,t,290,2.0,86.0,f,
t,1.0,Nolita,0,1.0,Manhattan,t,0,1,1125.0,1125,3,t,146,30.0,159.0,f,1.0
t,1.0,Williamsburg,0,1.0,Brooklyn,t,1,0,60.0,60,1,t,0,7.0,80.0,f,1.0
t,2.0,Chelsea,0,2.0,Manhattan,t,0,1,365.0,365,4,f,111,30.0,400.0,f,2.0
t,2.0,Upper East Side,0,4.0,Manhattan,t,0,3,1125.0,1125,6,f,305,30.0,206.0,f,1.0
t,4.0,Prospect Heights,0,2.0,Brooklyn,t,0,1,730.0,730,8,t,134,30.0,140.0,f,2.0
f,1.0,Clinton Hill,0,2.0,Brooklyn,t,2,0,150.0,150,2,f,273,14.0,55.0,f,1.0
t,1.0,East Village,0,2.0,Manhattan,t,1,0,1125.0,1125,2,t,100,1.1,94.0,f,1.0
