feature,importance
bedrooms,0.016878054
calculated_host_listings_count_shared_rooms,0.017795151
host_total_listings_count,0.008790832
calculated_host_listings_count_private_rooms,0.09739823
calculated_host_listings_count_entire_homes,0.01561135
maximum_nights_avg_ntm,0.002479469
maximum_nights,0.0023380762
accommodates,0.057857804
availability_365,0.006992091
minimum_nights_avg_ntm,0.007492995
bathrooms,0.024161976
host_identity_verified_f,0.0029072613
host_identity_verified_t,0.0
neighbourhood_cleansed_Arverne,0.0018978044
neighbourhood_cleansed_Astoria,0.00097270164
neighbourhood_cleansed_Battery Park City,0.0002009378
neighbourhood_cleansed_Bay Ridge,0.0024690386
neighbourhood_cleansed_Bedford-Stuyvesant,0.0025234781
neighbourhood_cleansed_Bensonhurst,0.0021079993
neighbourhood_cleansed_Boerum Hill,0.004893939
neighbourhood_cleansed_Borough Park,0.0010443339
neighbourhood_cleansed_Brighton Beach,0.0025091476
neighbourhood_cleansed_Brooklyn Heights,0.0058236145
neighbourhood_cleansed_Brownsville,0.00075502286
neighbourhood_cleansed_Bushwick,0.0055705793
neighbourhood_cleansed_Canarsie,0.0018609845
neighbourhood_cleansed_Carroll Gardens,0.0059103156
neighbourhood_cleansed_Chelsea,0.012432685
neighbourhood_cleansed_Chinatown,0.0011423216
neighbourhood_cleansed_Clinton Hill,0.0070649814
neighbourhood_cleansed_Cobble Hill,0.004195438
neighbourhood_cleansed_Corona,0.00013685453
neighbourhood_cleansed_Crown Heights,0.001315249
neighbourhood_cleansed_Cypress Hills,0.0017293924
neighbourhood_cleansed_Ditmars Steinway,0.0014231083
neighbourhood_cleansed_East Elmhurst,0.0035084295
neighbourhood_cleansed_East Flatbush,0.003849298
neighbourhood_cleansed_East Harlem,0.020601897
neighbourhood_cleansed_East New York,0.0076270574
neighbourhood_cleansed_East Village,0.001267671
neighbourhood_cleansed_Elmhurst,0.0008384507
neighbourhood_cleansed_Financial District,0.004276714
neighbourhood_cleansed_Flatbush,0.00253361
neighbourhood_cleansed_Flatiron District,0.003683912
neighbourhood_cleansed_Flatlands,0.002868339
neighbourhood_cleansed_Flushing,0.0018256034
neighbourhood_cleansed_Forest Hills,0.0007489079
neighbourhood_cleansed_Fort Greene,0.0054162396
neighbourhood_cleansed_Glendale,0.002226564
neighbourhood_cleansed_Gowanus,0.0058721253
neighbourhood_cleansed_Gramercy,0.001127291
neighbourhood_cleansed_Gravesend,0.0015559207
neighbourhood_cleansed_Greenpoint,0.014557718
neighbourhood_cleansed_Greenwich Village,0.0049984367
neighbourhood_cleansed_Harlem,0.05644029
neighbourhood_cleansed_Hell's Kitchen,0.0038278138
neighbourhood_cleansed_Inwood,0.02253233
neighbourhood_cleansed_Jackson Heights,0.0021441495
neighbourhood_cleansed_Jamaica,0.0018266916
neighbourhood_cleansed_Kensington,0.0033563427
neighbourhood_cleansed_Kingsbridge,0.0013876841
neighbourhood_cleansed_Kips Bay,0.0014603777
neighbourhood_cleansed_Little Italy,0.0024251193
neighbourhood_cleansed_Long Island City,0.01020903
neighbourhood_cleansed_Lower East Side,0.0015381927
neighbourhood_cleansed_Maspeth,0.0004974159
neighbourhood_cleansed_Midtown,0.026795998
neighbourhood_cleansed_Midwood,0.0011393386
neighbourhood_cleansed_Morningside Heights,0.012988059
neighbourhood_cleansed_Mott Haven,5.8753878e-05
neighbourhood_cleansed_Murray Hill,0.004498393
neighbourhood_cleansed_Nolita,0.005795213
neighbourhood_cleansed_Ozone Park,0.0010420393
neighbourhood_cleansed_Park Slope,0.006260125
neighbourhood_cleansed_Prospect Heights,0.0036182376
neighbourhood_cleansed_Prospect-Lefferts Gardens,0.0021395485
neighbourhood_cleansed_Queens Village,0.002208376
neighbourhood_cleansed_Red Hook,0.0026026145
neighbourhood_cleansed_Rego Park,0.0010103579
neighbourhood_cleansed_Richmond Hill,0.0014912344
neighbourhood_cleansed_Ridgewood,0.003689069
neighbourhood_cleansed_Rockaway Beach,0.0015083766
neighbourhood_cleansed_Roosevelt Island,0.002807521
neighbourhood_cleansed_Rosedale,0.00046778985
neighbourhood_cleansed_Sheepshead Bay,0.0024251943
neighbourhood_cleansed_SoHo,0.008384924
neighbourhood_cleansed_South Slope,0.0029567403
neighbourhood_cleansed_Springfield Gardens,0.0016171252
neighbourhood_cleansed_St. Albans,0.0028891573
neighbourhood_cleansed_Stuyvesant Town,0.0024077396
neighbourhood_cleansed_Sunnyside,0.0014690993
neighbourhood_cleansed_Sunset Park,0.0029370943
neighbourhood_cleansed_Theater District,0.012784392
neighbourhood_cleansed_Tribeca,0.0095144
neighbourhood_cleansed_Upper East Side,0.0018880625
neighbourhood_cleansed_Upper West Side,0.0059696604
neighbourhood_cleansed_Wakefield,0.002331186
neighbourhood_cleansed_Washington Heights,0.058385894
neighbourhood_cleansed_West Village,0.012875469
neighbourhood_cleansed_Williamsburg,0.029613357
neighbourhood_cleansed_Windsor Terrace,0.0017027236
neighbourhood_cleansed_Woodhaven,0.0010018094
neighbourhood_cleansed_Woodside,0.00084873795
neighbourhood_group_cleansed_Bronx,0.0032060454
neighbourhood_group_cleansed_Brooklyn,0.0030201678
neighbourhood_group_cleansed_Manhattan,0.17884058
neighbourhood_group_cleansed_Queens,0.036973204
has_availability_f,0.002787229
has_availability_t,0.0
host_is_superhost_f,0.0031074842
host_is_superhost_t,0.0
instant_bookable_f,0.0042287167
instant_bookable_t,0.0
